Owner,total_capacity,number_of_plants,number_of_countries,number_of_regions,avg_litpop_value_usd,largest_plant,Latitude,Longitude
Yildizlar Yatirim Holding AŞ,4000.0,1,1,1,,Yildiz Iron and Steel Kocaeli plant,40.870333,29.55767
KG Steel Co Ltd,4000.0,2,1,1,,KG Steel Dangjin steel plant,36.983721,126.744755
Essar Global Fund Ltd,4000.0,1,1,1,,Essar Ras Al Khair steel plant,27.544749,49.208103
Fangchenggang Jinxi Steel Technology Co Ltd,4000.0,1,1,1,954514098.9683073,Fangchenggang Jinxi Steel Technology Co Ltd,21.646525,108.369582
Langfang Guangyuan Metalwork Co Ltd,4000.0,1,1,1,1533063394.1574883,Langfang Guangyuan Metalwork Co Ltd,39.181466,116.838667
Jiugang Group Yuzhong Iron & Steel Co Ltd,4000.0,1,1,1,167993672.70306432,Jiugang Group Yuzhong Iron and Steel Co Ltd,36.033646,104.035535
Ningbo Iron & Steel Co Ltd,3999.0,1,1,1,7787131930.195617,Ningbo Iron and Steel Co Ltd,29.918776,121.876423
Shandong Guangfu Group Co Ltd,3960.0,1,1,1,833477595.0387985,Shandong Guangfu Group Co Ltd,36.863145,117.616918
Hebei Taihang Iron and Steel Group Co Ltd,3950.0,1,1,1,383769388.9911753,Hebei Taihang Iron and Steel Group Co Ltd,36.613716,114.082349
Yancheng Lianxin Steel Co Ltd,3950.0,1,1,1,47191425.791021824,Yancheng Lianxin Iron and Steel Co Ltd,33.211332,120.774892
Hubei Lijin Steel Group Co Ltd,3920.0,1,1,1,728653447.9992169,Hubei Lijin Steel Group Co Ltd,32.127263,112.715688
Pangang Group Xichang Steel and Vanadium Co Ltd,3900.0,1,1,1,146825967.31663737,Pangang Group Xichang Steel and Vanadium Co Ltd,27.74799,102.20517
Qatar Steel Company QPSC,3826.0,1,1,1,,Industries Qatar Steel Mesaieed plant,24.952688,51.584777
Shyam Metalics and Energy Ltd,3823.0,2,1,1,508460503.06881213,Shyam Metalics Sambalpur steel plant,21.680344,84.04179
Anhui Changjiang Steel Co Ltd,3800.0,1,1,1,2369022303.7466125,Anhui Changjiang Steel Co Ltd,31.502272,118.465162
Daye SPECIAL Steel Co Ltd,3780.0,1,1,1,5065987125.999837,Daye Special Steel Co Ltd,30.204603,115.125838
Badische Stahlwerke GmbH,3750.0,1,1,1,,Kehler Baden Steel Works,48.595058,7.821633
Chengdu Changfeng Steel Group Co Ltd,3740.0,1,1,1,846260426.3465284,Chengdu Changfeng Iron and Steel Group Co Ltd,31.031921,103.672956
BlueScope Steel Ltd,3700.0,2,2,2,,BlueScope Port Kembla steel plant,-34.463834,150.886191
Khouzestan Steel Co,3600.0,1,1,1,,Khouzestan Steel plant,31.270091,48.732904
"Xinyang Iron & Steel Co.,ltd of Angang Group",3600.0,1,1,1,382250327.83036226,Angang Group Xinyang Iron and Steel Co Ltd,32.488704,114.038243
Xiwang METAL Science Technology Co Ltd,3600.0,1,1,1,1079457394.0062003,Xiwang Metal Science Technology Co Ltd,36.928208,117.694654
Amsteel Mills Sdn Bhd,3600.0,2,1,1,,Lion Industries Amsteel Klang steel plant,3.069682,101.456474
Shougang Changzhi IRON& Steel Co Ltd,3600.0,1,1,1,2449438562.2978115,Shougang Changzhi Iron and Steel Co Ltd,36.356404,113.060809
Shadegan Steel Industry Co,3600.0,1,1,1,,Shadegan Steel Complex,30.565979,48.939846
Xinji AOSEN Steel Group Co Ltd,3600.0,1,1,1,215529762.4241828,Xinji Aosen Iron and Steel Group Co Ltd,37.752351,115.184798
Gerdau Acominas SA,3600.0,1,1,1,,Gerdau Açominas Ouro Branco steel plant,-20.543507,-43.75295
Guangdong Jinshenglan Metallurgical Technology Co Ltd,3600.0,1,1,1,288572450.6037076,Guangdong Jinshenglan Metallurgical Technology Co Ltd,22.888729,112.263081
Dongkuk Steel Mill Co Ltd,3600.0,2,1,1,,Dongkuk Steel Incheon steel plant,37.486465,126.638607
Henan YAXIN Steel Industry Co Ltd,3600.0,1,1,1,1630271672.3960836,Henan Yaxin Iron and Steel Group Co Ltd,35.879956,114.334825
Hebei New Wuan Lron and Steel Group Hong Rong Lron and Steel Co Ltd,3600.0,1,1,1,188809636.46592227,Hebei Xin Wuan Steel Group Hongrong Iron and Steel Co Ltd,36.640411,113.981172
Uzbekskiy Metallurgicheskiy Kombinat JSC,3540.0,1,1,1,,Uzmetkombinat steel plant,40.233432,69.290873
Shougang Shuicheng Iron & Steel (Group) Co Ltd,3501.0,1,1,1,2917021785.146939,Shougang Shuicheng Iron and Steel Group Co Ltd,26.595229,104.877413
Ternium Argentina SA,3501.0,1,1,1,,Ternium Siderar San Nicolás steel plant,-33.37365,-60.138697
Emsteel Building Materials PJSC,3500.0,1,1,1,,Emsteel Abu Dhabi steel plant,24.322033,54.467987
Ningxia Jianlong Special Steel Co Ltd,3500.0,1,1,1,698923464.9402945,Ningxia Jianlong Special Steel Co Ltd,39.215452,106.688294
Mesco Kalinga Steel Ltd,3500.0,1,1,1,864289310.3874147,Mesco Steel Kalinganagar plant,20.976277,86.044419
Kamet-Steel PrJSC,3500.0,1,1,1,,Metallurgical Plant Kametstal,48.528019,34.640915
Hebei Wenfeng STEEL&IRON Co Ltd,3499.0,1,1,1,1570133414.6514165,Hebei Wenfeng Iron and Steel Co Ltd,36.64577,114.124258
Fujian Dingsheng Steel Co Ltd,3452.0,1,1,1,65973740.548705816,Fujian Dingsheng Iron and Steel Co Ltd,27.224477,120.328828
Hebei Tianzhu IRON&STEEL (GROUP) Co Ltd,3418.0,1,1,1,4568324809.945682,Hebei Tianzhu Iron and Steel Group Co Ltd Fengrun Plant,39.803524,118.205663
Guangxi BG New Materials Co Ltd,3400.0,1,1,1,490660026.3866026,Guangxi Beigang New Material Co Ltd,21.519924,109.506427
Kaptan Demir Celik Endustrisi Ve Ticaret AŞ,3400.0,1,1,1,,Kaptan Ereglisi steel plant,41.015222,27.959978
Henan Xinjinhui Stainless Steel Industry Co Ltd,3400.0,1,1,1,797364861.8664675,Henan Jinhui Industrial Group,34.263509,113.853979
Zhongpu (Handan) Iron and Steel Co Ltd,3400.0,1,1,1,296202759.7826058,Zhongpu Handan Iron and Steel Co Ltd,36.721376,113.910271
Shanxi Zhongsheng Iron and Steel Co Ltd,3350.0,1,1,1,224177109.58702946,Shanxi Zhongsheng Iron and Steel Co Ltd,35.727776,111.330122
Al Ezz Dekheila Steel Company Alexandria SAE,3340.0,1,1,1,,Al-Ezz Dekheila Steel Alexandria plant,31.123467,29.80987
Rashmi Metaliks Ltd,3330.0,2,1,1,2729308041.8371925,Rashmi Metaliks Jamuria steel plant,23.706343,87.07774
Yenakiieve Metallurgical Plant Branch PJSC,3300.0,1,1,1,,Yenakiieve Metallurgical Plant,48.220502,38.228626
